conjunto,modelo,braco,n_treino,limiar,acuracia,f1_bonafide,f1_spoof,f1_macro,eer,roc_auc,recall_bonafide,latencia_ms,ms_por_audio_lote,pipeline_completo_ms,hardware
validacao,rf_tuned_principal,principal,30000,0.6515677318576931,0.8932781427157384,0.5048016701461377,0.9401946447481216,0.7224981574471296,0.19301535732457467,0.8873,0.5441044104410441,6.1075,0.0204,10.2293,"CPU, 1 thread"
validacao,rf_tuned_referencia,referencia,103723,0.6195519477166891,0.9168091424457843,0.5908386811241425,0.9536974432173891,0.7722680621707658,0.15794210644819728,0.9191,0.6008100810081008,7.8572,0.029,,"CPU, 1 thread"
validacao,svm_tuned_principal,principal,30000,-0.032941668297628235,0.9252227121389364,0.6391663048198003,0.9582894142448426,0.7987278595323215,0.14616770615273883,0.9289,0.6624662466246625,0.6285,0.4025,4.9191,"CPU, 1 thread"
validacao,cnn_final_principal,principal,30000,0.32524311542510986,0.9633312336902726,0.8154020385050963,0.9796438294577515,0.8975229339814239,0.07377131684374194,0.9799,0.8100810081008101,1.1093,0.2383,4.5765,GPU NVIDIA GeForce RTX 5060 Ti
teste,rf_tuned_principal,principal,30000,0.6515677318576931,0.8940027894002789,0.5012701100762066,0.9406997231311351,0.7209849166036708,0.19462150080105436,0.8878,0.5326135852451642,6.1075,0.0204,10.2293,"CPU, 1 thread"
teste,rf_tuned_referencia,referencia,103723,0.6195519477166891,0.9122688621946281,0.5691559876270438,0.9511620917651773,0.7601590396961105,0.16290520573348216,0.9167,0.5793972109761584,7.8572,0.029,,"CPU, 1 thread"
teste,svm_tuned_principal,principal,30000,-0.032941668297628235,0.9247311827956989,0.6381137789314298,0.9579975396048304,0.79805565926813,0.14111118397103306,0.9315,0.6635177687809267,0.6285,0.4025,4.9191,"CPU, 1 thread"
teste,cnn_final_principal,principal,30000,0.32524311542510986,0.9602735411886444,0.7986316989737743,0.977963013801193,0.8882973563874836,0.07370472599137394,0.9783,0.7876743139901035,1.1093,0.2383,4.5765,GPU NVIDIA GeForce RTX 5060 Ti
