epoca,loss_treino,loss_early_stopping,f1_macro_early_stopping,eer_early_stopping,recall_bonafide_early_stopping,recall_spoof_early_stopping,limiar_epoca,tempo_s
1,0.5387349872059293,0.5607209924062093,0.6899576835511605,0.2261111111111111,0.57,0.8974074074074074,0.5657325983047485,25.64
2,0.46025389348136053,0.4706064189275106,0.7025987062661458,0.20018518518518522,0.5966666666666667,0.9007407407407407,0.42208331823349,24.39
3,0.42463386910050005,0.5731373389561971,0.7155848590467087,0.182962962962963,0.5533333333333333,0.924074074074074,0.07212484627962112,24.39
4,0.38678791621879294,0.3548650702635447,0.7780320062538844,0.13648148148148145,0.76,0.9192592592592592,0.29831400513648987,24.61
5,0.35359805004685013,0.5842727500597636,0.7764047195722772,0.13648148148148145,0.7266666666666667,0.9255555555555556,0.06261321902275085,24.98
6,0.32774716676164556,1.078290782292684,0.7923725783621212,0.14370370370370367,0.6833333333333333,0.945925925925926,0.9348179697990417,24.66
7,0.2973791668326766,0.48132757043838503,0.8352723606788536,0.12981481481481483,0.69,0.9696296296296296,0.04214388132095337,24.32
8,0.27430890982239337,0.8251774686177572,0.7901395348837209,0.1374074074074074,0.65,0.9518518518518518,0.86549973487854,25.04
9,0.24623721164244192,0.2775015464623769,0.8535436376215612,0.11333333333333331,0.73,0.9718518518518519,0.12120253592729568,24.55
10,0.23051876932161824,0.2503847193717956,0.8410165733408717,0.09722222222222221,0.73,0.9651851851851851,0.19264629483222961,24.61
11,0.21006944140239997,1.9240607102711995,0.8381100851421034,0.10925925925925928,0.7333333333333333,0.9629629629629629,0.9956270456314087,23.24
12,0.20339515507662737,0.48223488076527915,0.8770339857723082,0.0937037037037037,0.78,0.9751851851851852,0.019229087978601456,24.41
13,0.1872764960306662,0.24843090550104777,0.8801246703428434,0.08962962962962963,0.76,0.98,0.07379481196403503,24.4
14,0.16913590149084726,0.23222921458880105,0.8721720625395628,0.10111111111111111,0.6866666666666666,0.9885185185185185,0.0750085636973381,24.63
15,0.15050722861289978,0.28107041692733764,0.8739495798319328,0.08740740740740743,0.72,0.9837037037037037,0.23147907853126526,24.02
16,0.14323081961384526,0.2631444261868795,0.8518096999442805,0.09574074074074074,0.68,0.98,0.04332800209522247,24.14
17,0.12200360655343091,1.1672387914657594,0.8502966535279515,0.08925925925925927,0.7966666666666666,0.9581481481481482,0.9867112040519714,23.2
18,0.12318667688193144,0.7249252999623617,0.888682745825603,0.07462962962962964,0.8133333333333334,0.9755555555555555,0.9395027756690979,23.59
19,0.10122731737295787,0.3272587523460388,0.8908379334138348,0.07796296296296298,0.7266666666666667,0.9903703703703703,0.0043607898987829685,24.2
20,0.10093807356445877,0.35274928776423137,0.9066965600018118,0.06814814814814815,0.8533333333333334,0.9781481481481481,0.015105723403394222,24.32
21,0.08260995411872864,0.2625513602892558,0.8948441812654779,0.06611111111111112,0.7733333333333333,0.9848148148148148,0.010374631732702255,24.13
22,0.07485654465798978,0.23965830341974895,0.8980447135866377,0.07666666666666666,0.79,0.9837037037037037,0.09319242835044861,23.67
23,0.07060369960356641,0.3826338396072388,0.8943737708947885,0.06351851851851853,0.7766666666666666,0.9840740740740741,0.6313052773475647,23.53
24,0.06752746840318044,0.4202070452372233,0.9130052159046638,0.06592592592592594,0.8233333333333334,0.9855555555555555,0.757249116897583,23.09
25,0.06056292676594522,0.489468874613444,0.8995550527993648,0.0737037037037037,0.85,0.9751851851851852,0.8855138421058655,23.15
26,0.05951435447622228,0.2581677259604136,0.9081374150626229,0.06740740740740742,0.8133333333333334,0.9848148148148148,0.24866236746311188,23.43
27,0.05723480569433283,0.7445785873730978,0.8861819874142571,0.07333333333333335,0.7733333333333333,0.9807407407407407,0.0002556817780714482,24.15
28,0.03846393108257541,0.7616913216908773,0.9063427010208646,0.0614814814814815,0.83,0.9814814814814815,0.9683253169059753,22.64
29,0.0391225327650706,0.2661831816037496,0.8879852052616204,0.07851851851851854,0.7833333333333333,0.98,0.03716554120182991,23.43
30,0.04501313033368853,0.28882095098495486,0.9121671326945059,0.06740740740740739,0.8433333333333334,0.9822222222222222,0.007131813559681177,23.62
31,0.02033171590058892,0.8385683517456055,0.9205024246760474,0.06462962962962965,0.87,0.9822222222222222,0.9828922748565674,22.51
32,0.030416977328282815,1.0882457437515258,0.8781834719334719,0.08740740740740743,0.77,0.9774074074074074,4.557363718049601e-05,24.06
33,0.04802438377451013,0.6896145935058594,0.9019563479493793,0.0690740740740741,0.8066666666666666,0.9829629629629629,0.9025396704673767,22.69
34,0.03701875550493046,0.20878382301330567,0.9246332149795673,0.05925925925925926,0.8233333333333334,0.9907407407407407,0.050960246473550797,23.19
35,0.013445589090938922,0.29086749958992003,0.9220997796032859,0.06962962962962962,0.8233333333333334,0.9896296296296296,0.20770899951457977,22.81
36,0.00942502097123199,0.21282816807428995,0.9278701662993387,0.055740740740740716,0.8333333333333334,0.9907407407407407,0.009155764244496822,23.49
37,0.004920233421303608,0.2535711957613627,0.9306582626535573,0.060000000000000026,0.8766666666666667,0.9859259259259259,0.2304617166519165,22.85
38,0.09726715681343166,0.27591210492451984,0.8898678068538621,0.07555555555555554,0.7866666666666666,0.9803703703703703,0.22362013161182404,23.55
39,0.038575706607765624,0.35534585428237914,0.922574024984647,0.060000000000000026,0.8533333333333334,0.9855555555555555,0.606396496295929,22.79
40,0.013254739379441296,1.1389484570821127,0.9105457487191189,0.0601851851851852,0.7933333333333333,0.9888888888888889,0.9836942553520203,22.14
41,0.006709415689386703,0.5951263968149821,0.9233922652346626,0.06388888888888888,0.8533333333333334,0.9859259259259259,0.9162580370903015,22.3
42,0.004284278592853634,0.5847615409692128,0.9218273532358033,0.06370370370370368,0.7966666666666666,0.9933333333333333,0.719694197177887,22.26
43,0.0031699558548215364,0.26547540378570555,0.9230552694316317,0.05981481481481479,0.8366666666666667,0.9881481481481481,0.11340335756540298,22.67
44,0.09016270165945645,0.25979668156305946,0.8722739316529655,0.08851851851851851,0.79,0.9711111111111111,0.06339968740940094,23.77
45,0.043857037336048156,0.3302339407602946,0.9028651572831097,0.060000000000000026,0.79,0.9859259259259259,0.45189130306243896,23.0
