config_id,fase,arquitetura,n_blocos,canais,n_parametros,p_dropout,lr,batch,otimizador,weight_decay,scheduler,kernel,batchnorm,paciencia,teto_epocas,melhor_epoca,epoca_em_que_parou,parou_por_paciencia,atingiu_teto,f1_macro_3k_melhor_epoca,eer_3k_melhor_epoca,roc_auc_3k_melhor_epoca,recall_bonafide_3k,recall_spoof_3k,limiar_provisorio_3k,loss_3k_melhor_epoca,loss_treino_melhor_epoca,f1_macro_janela_estabilidade,desvio_janela_estabilidade,n_epocas_na_janela,tempo_total_s,tempo_por_epoca_s_mediana,semente,pesos_batem_com_o_historico
A4-32x64x128x128|drop0.0|lr0.001,1,A4-32x64x128x128,4,32-64-128-128,240866,0.0,0.001,128,Adam,0.0,none,3x3,True,8,60,37,45,True,False,0.9306582626535573,0.060000000000000026,0.9838,0.8766666666666667,0.9859259259259259,0.2304617166519165,0.2535711957613627,0.004920233421303608,0.9186140080789382,0.01473035610666178,5,1068.4,23.62,42,True
A4-32x64x128x128|drop0.3|lr0.001,1,A4-32x64x128x128,4,32-64-128-128,240866,0.3,0.001,128,Adam,0.0,none,3x3,True,8,60,33,41,True,False,0.9084165793057347,0.0637037037037037,0.9811,0.8166666666666667,0.9844444444444445,0.30509263277053833,0.24856308301289876,0.08272926292320093,0.8999900455174863,0.012678458040621227,5,977.71,24.08,42,True
B3-16x32x64|drop0.0|lr0.001,1,B3-16x32x64,3,16-32-64,23538,0.0,0.001,128,Adam,0.0,none,3x3,True,8,60,43,51,True,False,0.8505528249691388,0.09981481481481481,0.956,0.7933333333333333,0.9588888888888889,0.3906383812427521,0.2853752001921336,0.2101153810068413,0.844490386447393,0.0037980170551066487,5,721.72,14.08,42,True
B3-16x32x64|drop0.3|lr0.001,1,B3-16x32x64,3,16-32-64,23538,0.3,0.001,128,Adam,0.0,none,3x3,True,8,60,59,60,False,True,0.842748638039201,0.10722222222222222,0.9538,0.6833333333333333,0.9748148148148148,0.142233744263649,0.28312471747398377,0.2852966584806089,0.8302155892546463,0.009279012137866378,4,886.09,14.73,42,True
A4-32x64x128x128|drop0.0|lr0.0003,2,A4-32x64x128x128,4,32-64-128-128,240866,0.0,0.0003,128,Adam,0.0,none,3x3,True,8,60,34,42,True,False,0.9071684066207615,0.07703703703703701,0.9743,0.84,0.9803703703703703,0.326718270778656,0.27280925488471985,0.027764765363048623,0.8929612548293864,0.015216335863216197,5,1034.16,24.93,42,True
B3-16x32x64|drop0.0|lr0.0003,2,B3-16x32x64,3,16-32-64,23538,0.0,0.0003,128,Adam,0.0,none,3x3,True,8,60,54,60,False,True,0.8204980110621589,0.11092592592592593,0.9479,0.6733333333333333,0.9648148148148148,0.14246052503585815,0.3000211504300435,0.2662852051390542,0.8055904435631367,0.007711085191556606,5,882.39,14.7,42,True
