config_id,epoca,loss_treino,loss_early_stopping,f1_macro_early_stopping,eer_early_stopping,recall_bonafide_early_stopping,recall_spoof_early_stopping,limiar_epoca,tempo_s
A4-32x64x128x128|drop0.0|lr0.001,1,0.5387349872059293,0.5607209924062093,0.6899576835511605,0.2261111111111111,0.57,0.8974074074074074,0.5657325983047485,25.64
A4-32x64x128x128|drop0.0|lr0.001,2,0.46025389348136053,0.4706064189275106,0.7025987062661458,0.20018518518518522,0.5966666666666667,0.9007407407407407,0.42208331823349,24.39
A4-32x64x128x128|drop0.0|lr0.001,3,0.42463386910050005,0.5731373389561971,0.7155848590467087,0.182962962962963,0.5533333333333333,0.924074074074074,0.07212484627962112,24.39
A4-32x64x128x128|drop0.0|lr0.001,4,0.38678791621879294,0.3548650702635447,0.7780320062538844,0.13648148148148145,0.76,0.9192592592592592,0.29831400513648987,24.61
A4-32x64x128x128|drop0.0|lr0.001,5,0.35359805004685013,0.5842727500597636,0.7764047195722772,0.13648148148148145,0.7266666666666667,0.9255555555555556,0.06261321902275085,24.98
A4-32x64x128x128|drop0.0|lr0.001,6,0.32774716676164556,1.078290782292684,0.7923725783621212,0.14370370370370367,0.6833333333333333,0.945925925925926,0.9348179697990417,24.66
A4-32x64x128x128|drop0.0|lr0.001,7,0.2973791668326766,0.48132757043838503,0.8352723606788536,0.12981481481481483,0.69,0.9696296296296296,0.04214388132095337,24.32
A4-32x64x128x128|drop0.0|lr0.001,8,0.27430890982239337,0.8251774686177572,0.7901395348837209,0.1374074074074074,0.65,0.9518518518518518,0.86549973487854,25.04
A4-32x64x128x128|drop0.0|lr0.001,9,0.24623721164244192,0.2775015464623769,0.8535436376215612,0.11333333333333331,0.73,0.9718518518518519,0.12120253592729568,24.55
A4-32x64x128x128|drop0.0|lr0.001,10,0.23051876932161824,0.2503847193717956,0.8410165733408717,0.09722222222222221,0.73,0.9651851851851851,0.19264629483222961,24.61
A4-32x64x128x128|drop0.0|lr0.001,11,0.21006944140239997,1.9240607102711995,0.8381100851421034,0.10925925925925928,0.7333333333333333,0.9629629629629629,0.9956270456314087,23.24
A4-32x64x128x128|drop0.0|lr0.001,12,0.20339515507662737,0.48223488076527915,0.8770339857723082,0.0937037037037037,0.78,0.9751851851851852,0.019229087978601456,24.41
A4-32x64x128x128|drop0.0|lr0.001,13,0.1872764960306662,0.24843090550104777,0.8801246703428434,0.08962962962962963,0.76,0.98,0.07379481196403503,24.4
A4-32x64x128x128|drop0.0|lr0.001,14,0.16913590149084726,0.23222921458880105,0.8721720625395628,0.10111111111111111,0.6866666666666666,0.9885185185185185,0.0750085636973381,24.63
A4-32x64x128x128|drop0.0|lr0.001,15,0.15050722861289978,0.28107041692733764,0.8739495798319328,0.08740740740740743,0.72,0.9837037037037037,0.23147907853126526,24.02
A4-32x64x128x128|drop0.0|lr0.001,16,0.14323081961384526,0.2631444261868795,0.8518096999442805,0.09574074074074074,0.68,0.98,0.04332800209522247,24.14
A4-32x64x128x128|drop0.0|lr0.001,17,0.12200360655343091,1.1672387914657594,0.8502966535279515,0.08925925925925927,0.7966666666666666,0.9581481481481482,0.9867112040519714,23.2
A4-32x64x128x128|drop0.0|lr0.001,18,0.12318667688193144,0.7249252999623617,0.888682745825603,0.07462962962962964,0.8133333333333334,0.9755555555555555,0.9395027756690979,23.59
A4-32x64x128x128|drop0.0|lr0.001,19,0.10122731737295787,0.3272587523460388,0.8908379334138348,0.07796296296296298,0.7266666666666667,0.9903703703703703,0.0043607898987829685,24.2
A4-32x64x128x128|drop0.0|lr0.001,20,0.10093807356445877,0.35274928776423137,0.9066965600018118,0.06814814814814815,0.8533333333333334,0.9781481481481481,0.015105723403394222,24.32
A4-32x64x128x128|drop0.0|lr0.001,21,0.08260995411872864,0.2625513602892558,0.8948441812654779,0.06611111111111112,0.7733333333333333,0.9848148148148148,0.010374631732702255,24.13
A4-32x64x128x128|drop0.0|lr0.001,22,0.07485654465798978,0.23965830341974895,0.8980447135866377,0.07666666666666666,0.79,0.9837037037037037,0.09319242835044861,23.67
A4-32x64x128x128|drop0.0|lr0.001,23,0.07060369960356641,0.3826338396072388,0.8943737708947885,0.06351851851851853,0.7766666666666666,0.9840740740740741,0.6313052773475647,23.53
A4-32x64x128x128|drop0.0|lr0.001,24,0.06752746840318044,0.4202070452372233,0.9130052159046638,0.06592592592592594,0.8233333333333334,0.9855555555555555,0.757249116897583,23.09
A4-32x64x128x128|drop0.0|lr0.001,25,0.06056292676594522,0.489468874613444,0.8995550527993648,0.0737037037037037,0.85,0.9751851851851852,0.8855138421058655,23.15
A4-32x64x128x128|drop0.0|lr0.001,26,0.05951435447622228,0.2581677259604136,0.9081374150626229,0.06740740740740742,0.8133333333333334,0.9848148148148148,0.24866236746311188,23.43
A4-32x64x128x128|drop0.0|lr0.001,27,0.05723480569433283,0.7445785873730978,0.8861819874142571,0.07333333333333335,0.7733333333333333,0.9807407407407407,0.0002556817780714482,24.15
A4-32x64x128x128|drop0.0|lr0.001,28,0.03846393108257541,0.7616913216908773,0.9063427010208646,0.0614814814814815,0.83,0.9814814814814815,0.9683253169059753,22.64
A4-32x64x128x128|drop0.0|lr0.001,29,0.0391225327650706,0.2661831816037496,0.8879852052616204,0.07851851851851854,0.7833333333333333,0.98,0.03716554120182991,23.43
A4-32x64x128x128|drop0.0|lr0.001,30,0.04501313033368853,0.28882095098495486,0.9121671326945059,0.06740740740740739,0.8433333333333334,0.9822222222222222,0.007131813559681177,23.62
A4-32x64x128x128|drop0.0|lr0.001,31,0.02033171590058892,0.8385683517456055,0.9205024246760474,0.06462962962962965,0.87,0.9822222222222222,0.9828922748565674,22.51
A4-32x64x128x128|drop0.0|lr0.001,32,0.030416977328282815,1.0882457437515258,0.8781834719334719,0.08740740740740743,0.77,0.9774074074074074,4.557363718049601e-05,24.06
A4-32x64x128x128|drop0.0|lr0.001,33,0.04802438377451013,0.6896145935058594,0.9019563479493793,0.0690740740740741,0.8066666666666666,0.9829629629629629,0.9025396704673767,22.69
A4-32x64x128x128|drop0.0|lr0.001,34,0.03701875550493046,0.20878382301330567,0.9246332149795673,0.05925925925925926,0.8233333333333334,0.9907407407407407,0.050960246473550797,23.19
A4-32x64x128x128|drop0.0|lr0.001,35,0.013445589090938922,0.29086749958992003,0.9220997796032859,0.06962962962962962,0.8233333333333334,0.9896296296296296,0.20770899951457977,22.81
A4-32x64x128x128|drop0.0|lr0.001,36,0.00942502097123199,0.21282816807428995,0.9278701662993387,0.055740740740740716,0.8333333333333334,0.9907407407407407,0.009155764244496822,23.49
A4-32x64x128x128|drop0.0|lr0.001,37,0.004920233421303608,0.2535711957613627,0.9306582626535573,0.060000000000000026,0.8766666666666667,0.9859259259259259,0.2304617166519165,22.85
A4-32x64x128x128|drop0.0|lr0.001,38,0.09726715681343166,0.27591210492451984,0.8898678068538621,0.07555555555555554,0.7866666666666666,0.9803703703703703,0.22362013161182404,23.55
A4-32x64x128x128|drop0.0|lr0.001,39,0.038575706607765624,0.35534585428237914,0.922574024984647,0.060000000000000026,0.8533333333333334,0.9855555555555555,0.606396496295929,22.79
A4-32x64x128x128|drop0.0|lr0.001,40,0.013254739379441296,1.1389484570821127,0.9105457487191189,0.0601851851851852,0.7933333333333333,0.9888888888888889,0.9836942553520203,22.14
A4-32x64x128x128|drop0.0|lr0.001,41,0.006709415689386703,0.5951263968149821,0.9233922652346626,0.06388888888888888,0.8533333333333334,0.9859259259259259,0.9162580370903015,22.3
A4-32x64x128x128|drop0.0|lr0.001,42,0.004284278592853634,0.5847615409692128,0.9218273532358033,0.06370370370370368,0.7966666666666666,0.9933333333333333,0.719694197177887,22.26
A4-32x64x128x128|drop0.0|lr0.001,43,0.0031699558548215364,0.26547540378570555,0.9230552694316317,0.05981481481481479,0.8366666666666667,0.9881481481481481,0.11340335756540298,22.67
A4-32x64x128x128|drop0.0|lr0.001,44,0.09016270165945645,0.25979668156305946,0.8722739316529655,0.08851851851851851,0.79,0.9711111111111111,0.06339968740940094,23.77
A4-32x64x128x128|drop0.0|lr0.001,45,0.043857037336048156,0.3302339407602946,0.9028651572831097,0.060000000000000026,0.79,0.9859259259259259,0.45189130306243896,23.0
A4-32x64x128x128|drop0.3|lr0.001,1,0.5551383207639058,0.7187949347496033,0.6796085858585859,0.2261111111111111,0.5233333333333333,0.9025925925925926,0.7048527598381042,25.09
A4-32x64x128x128|drop0.3|lr0.001,2,0.48540918831472046,0.5224120008150737,0.6949129443636844,0.20925925925925926,0.57,0.9018518518518519,0.43243077397346497,24.13
A4-32x64x128x128|drop0.3|lr0.001,3,0.44869117065712255,0.5702195582389832,0.7087647031449406,0.20370370370370372,0.4766666666666667,0.9414814814814815,0.06400404125452042,24.15
A4-32x64x128x128|drop0.3|lr0.001,4,0.4131820388458393,0.4060718603134155,0.7746728516321681,0.15000000000000002,0.7033333333333334,0.9296296296296296,0.1845676600933075,24.13
A4-32x64x128x128|drop0.3|lr0.001,5,0.39730149075720045,0.39793697794278465,0.7648037920865522,0.14981481481481485,0.63,0.94,0.17309582233428955,24.24
A4-32x64x128x128|drop0.3|lr0.001,6,0.36184197938883744,0.5435591103235881,0.7911765115340174,0.14037037037037037,0.69,0.9437037037037037,0.708845853805542,24.21
A4-32x64x128x128|drop0.3|lr0.001,7,0.3457808625256574,0.47105180501937866,0.8039333253387697,0.12814814814814818,0.67,0.955925925925926,0.6008853316307068,24.24
A4-32x64x128x128|drop0.3|lr0.001,8,0.3228484111626943,0.5490617939631144,0.7901395348837209,0.1325925925925926,0.65,0.9518518518518518,0.6811355948448181,24.17
A4-32x64x128x128|drop0.3|lr0.001,9,0.29065140949355234,0.3050903997421265,0.8168888290974861,0.1164814814814815,0.6633333333333333,0.9648148148148148,0.1781042069196701,24.15
A4-32x64x128x128|drop0.3|lr0.001,10,0.28623223862824615,0.301662917137146,0.8407407407407408,0.11018518518518516,0.7133333333333334,0.9681481481481482,0.09508023411035538,24.25
A4-32x64x128x128|drop0.3|lr0.001,11,0.2736594378683302,0.7247537542978922,0.8233161258603736,0.11222222222222225,0.6533333333333333,0.9703703703703703,0.8017276525497437,23.99
A4-32x64x128x128|drop0.3|lr0.001,12,0.2588533789670026,0.3211187976201375,0.8533109361708202,0.10592592592592592,0.75,0.9681481481481482,0.10280518978834152,24.25
A4-32x64x128x128|drop0.3|lr0.001,13,0.24472945658807402,0.2634982112248739,0.866784269594574,0.10759259259259263,0.7733333333333333,0.9711111111111111,0.09310347586870193,24.07
A4-32x64x128x128|drop0.3|lr0.001,14,0.22952490321795146,0.24399746592839558,0.868270875053865,0.1,0.78,0.9707407407407408,0.2126932591199875,24.16
A4-32x64x128x128|drop0.3|lr0.001,15,0.22136301763852437,0.2521719536781311,0.8714866467845928,0.09870370370370368,0.77,0.9740740740740741,0.11448739469051361,24.26
A4-32x64x128x128|drop0.3|lr0.001,16,0.21249228398446685,0.6938019186655681,0.8518518518518519,0.10222222222222224,0.7333333333333333,0.9703703703703703,0.8439255356788635,23.73
A4-32x64x128x128|drop0.3|lr0.001,17,0.18738884635324832,0.216204891204834,0.8817485703208296,0.09333333333333335,0.7466666666666667,0.9829629629629629,0.10613078624010086,24.2
A4-32x64x128x128|drop0.3|lr0.001,18,0.17805498743498765,0.22036415282885233,0.8679590426048989,0.09685185185185186,0.74,0.9774074074074074,0.14102678000926971,24.21
A4-32x64x128x128|drop0.3|lr0.001,19,0.16053023419556794,0.9281918667157492,0.8840200491902268,0.09592592592592591,0.7966666666666666,0.975925925925926,0.0034101740457117558,24.17
A4-32x64x128x128|drop0.3|lr0.001,20,0.1610504305936672,0.20825881385803222,0.8863630718483451,0.07259259259259258,0.79,0.9781481481481481,0.2547255754470825,24.07
A4-32x64x128x128|drop0.3|lr0.001,21,0.15722447711450083,0.23330784447987873,0.8799743945375014,0.08203703703703705,0.8433333333333334,0.9662962962962963,0.10154253989458084,24.11
A4-32x64x128x128|drop0.3|lr0.001,22,0.14412356957682856,0.3198073291778564,0.8771007174368519,0.07611111111111113,0.7266666666666667,0.9840740740740741,0.36699098348617554,23.74
A4-32x64x128x128|drop0.3|lr0.001,23,0.13098598169618184,0.20039470402399698,0.8902746132629812,0.07259259259259258,0.83,0.9737037037037037,0.2750625014305115,23.94
A4-32x64x128x128|drop0.3|lr0.001,24,0.12371767551810653,0.3422588183879852,0.8848438395788009,0.0775925925925926,0.79,0.9774074074074074,0.015618057921528816,24.21
A4-32x64x128x128|drop0.3|lr0.001,25,0.11981547356755645,0.22207134675979615,0.8873401474592293,0.07129629629629627,0.8533333333333334,0.9685185185185186,0.07985082268714905,24.08
A4-32x64x128x128|drop0.3|lr0.001,26,0.11301287617065288,0.46451640288035073,0.8901999206060964,0.07333333333333335,0.79,0.98,0.7693844437599182,23.1
A4-32x64x128x128|drop0.3|lr0.001,27,0.10371874710365578,0.3333742335637411,0.8950657587911576,0.07351851851851852,0.8166666666666667,0.9781481481481481,0.01495649665594101,24.09
A4-32x64x128x128|drop0.3|lr0.001,28,0.10019396007723279,2.921631669362386,0.881779755378792,0.08074074074074075,0.7966666666666666,0.9748148148148148,0.999870777130127,22.03
A4-32x64x128x128|drop0.3|lr0.001,29,0.09719398999655689,0.41625689872105914,0.8838828135678094,0.09314814814814812,0.81,0.9737037037037037,0.006710791029036045,23.95
A4-32x64x128x128|drop0.3|lr0.001,30,0.08935523507992427,0.6139687247276306,0.9018374716473898,0.07740740740740742,0.77,0.9885185185185185,0.0006488421349786222,24.07
A4-32x64x128x128|drop0.3|lr0.001,31,0.0812072452682036,0.6636375172932942,0.906426897452056,0.06203703703703705,0.85,0.9785185185185186,0.9519761204719543,22.79
