mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__class_weight,param_svc__gamma,params,mean_test_eer,std_test_eer,rank_test_eer,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
26.25273780822754,1.4880833764269363,5.379127883911133,0.9790453882227793,24.526126311336764,balanced,scale,"{'svc__C': np.float64(24.526126311336764), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.15275925925925926,0.007648036049756923,1,0.9223982098765433,0.003731989781471132,2
25.95622158050537,0.505423658539457,4.77763295173645,0.17589100640737274,21.830968390524596,balanced,scale,"{'svc__C': np.float64(21.830968390524596), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.15364814814814814,0.008891126261631549,2,0.9224386419753087,0.003763698793533291,1
31.607962322235107,2.9920783998610254,7.5874076843261715,2.0161733494289575,2.175195311877764,balanced,scale,"{'svc__C': np.float64(2.175195311877764), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.15574074074074074,0.0092312539442221,6,0.9198487654320988,0.003542506291179324,8
31.77765703201294,2.0517155661241278,6.756676816940308,1.3482036295057607,2.3864188780056055,balanced,scale,"{'svc__C': np.float64(2.3864188780056055), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.15537037037037035,0.00773910136813587,5,0.9203712345679012,0.003317091944941103,7
55.82561492919922,4.110406716521786,14.718647241592407,2.333530022111519,0.26828750938254387,balanced,0.00011527987128232407,"{'svc__C': np.float64(0.26828750938254387), 'svc__class_weight': 'balanced', 'svc__gamma': np.float64(0.00011527987128232407)}",-0.2902222222222222,0.012660844449220303,30,0.7862787654320988,0.010814859062920372,30
23.3185218334198,0.640927802037017,3.133610486984253,0.4368757205484027,14.6553541187277,,0.0004335281794951569,"{'svc__C': np.float64(14.6553541187277), 'svc__class_weight': None, 'svc__gamma': np.float64(0.0004335281794951569)}",-0.19001851851851853,0.0095849032530522,24,0.8887136419753086,0.0067487050878483265,24
43.72344393730164,4.308028363678245,7.237182378768921,0.4809134509863684,94.76210031010513,balanced,0.0008179499475211679,"{'svc__C': np.float64(94.76210031010513), 'svc__class_weight': 'balanced', 'svc__gamma': np.float64(0.0008179499475211679)}",-0.18703703703703706,0.010431861345826354,23,0.8905080246913581,0.0059961655461995686,23
52.960032081604005,5.764957966104971,15.060544347763061,1.9311630122470174,0.10500232504231348,balanced,0.0007476312062252305,"{'svc__C': np.float64(0.10500232504231348), 'svc__class_weight': 'balanced', 'svc__gamma': np.float64(0.0007476312062252305)}",-0.26916666666666667,0.009954285082073916,28,0.8060571604938271,0.009421435733490541,28
17.233139514923096,0.932271033378503,3.956532096862793,0.5058374869524854,1.5833718339012062,,scale,"{'svc__C': np.float64(1.5833718339012062), 'svc__class_weight': None, 'svc__gamma': 'scale'}",-0.17025925925925928,0.008115971822786092,15,0.909523086419753,0.004878891489606295,15
35.427122592926025,5.512492524537127,6.135623550415039,0.6837763982223924,83.41930294140772,balanced,0.0023345864076016252,"{'svc__C': np.float64(83.41930294140772), 'svc__class_weight': 'balanced', 'svc__gamma': np.float64(0.0023345864076016252)}",-0.17235185185185187,0.007775484670782216,16,0.908545802469136,0.004560589065693587,16
